sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,90.17084240913391,70.51553916931152,2824,3388009,76.28663420677185,0.0485072135925293,2.1821882724761963,40.22691488265991,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,80.3719425201416,68.1272976398468,3726808,3388009,27.20076322555542,16.892187118530273,50.83920860290527,42.73163175582886,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.CLUSTERED,41.421629190444946,43.703120708465576,2824,3388009,27.286569595336914,0.0532839298248291,2.270202875137329,26.03002166748047,0,0
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,90.44253754615784,70.63339710235596,2824,3388009,76.35107421875,0.04838275909423828,2.2058279514312744,40.24448585510254,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,35.43719029426575,42.62172079086304,2824,3388009,21.451664447784424,0.05665302276611328,2.180708646774292,25.62405228614807,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.98536396026611,44.9060914516449,2824,3388009,21.064792156219482,0.05746102333068848,2.136122465133667,27.050270318984985,0,0
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,90.52856969833374,71.10010600090027,2824,3388009,76.6109664440155,0.056711435317993164,2.1790084838867188,40.536728858947754,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,74.37287139892578,67.08097386360168,3726808,3388009,26.617994785308838,15.252218246459961,45.22860264778137,43.309483766555786,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,150.35946011543274,106.06085968017578,3726808,3388009,59.118656873703,24.135384798049927,88.83129286766052,73.27178406715393,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,74.13651943206787,68.47216844558716,3726808,3388009,26.57646083831787,15.430584907531738,45.14456295967102,44.50501227378845,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,40.91911721229553,50.758580923080444,0,3388011,4.539453983306885,0.003918647766113281,2.268587589263916,22.774425983428955,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,91.35850214958191,71.52720379829407,2824,3388009,77.45836591720581,0.05482649803161621,2.1648447513580322,40.81226205825806,0,0
