sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,149.74249267578125,89.76362729072571,3726808,3388009,27.112923860549927,30.063443183898926,120.36821818351746,38.72313046455383,0,11.686830759048462
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.CLUSTERED,35.276520013809204,48.66935420036316,2824,3388009,21.257548093795776,0.0506746768951416,2.201671600341797,19.043402194976807,3.743171691894531e-05,11.8405921459198
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,126.340824842453,84.75105857849121,3726808,3388009,25.101596117019653,25.533309936523438,98.81983590126038,38.237486600875854,0,11.691076517105103
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,40.62286019325256,48.73426604270935,2824,3388009,26.586885690689087,0.047293663024902344,2.2738773822784424,19.16010069847107,3.933906555175781e-05,11.843544960021973
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,56.91948318481445,74.40548872947693,0,3388011,11.58362102508545,0.003939390182495117,2.239351749420166,20.782610177993774,7.367134094238281e-05,14.460986375808716
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,117.19930577278137,82.97843766212463,3726808,3388009,25.144968271255493,24.161855220794678,89.6574718952179,37.80738043785095,0,11.689919233322144
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,90.22708940505981,76.69683814048767,2824,3388009,76.38561964035034,0.04743242263793945,2.221742630004883,34.017966747283936,3.600120544433594e-05,11.990455627441406
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.247777223587036,57.8907196521759,0,3388011,4.419451713562012,0.0039370059967041016,2.201216220855713,15.582144737243652,6.866455078125e-05,13.764465093612671
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,151.20131063461304,87.92612862586975,3726808,3388009,27.71334195137024,29.725491046905518,121.08391666412354,37.45131278038025,0,11.536266565322876
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,90.29704451560974,76.6218056678772,2824,3388009,76.45390319824219,0.05064797401428223,2.1868159770965576,33.96314811706543,4.076957702636719e-05,11.988134145736694
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.94139504432678,48.56732392311096,2824,3388009,20.907883405685425,0.04691767692565918,2.2124340534210205,19.202842473983765,3.647804260253906e-05,11.737724304199219
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,39.47154259681702,57.73852729797363,0,3388011,4.514955997467041,0.0039179325103759766,2.2420437335968018,15.654588460922241,0.00011968612670898438,13.665935754776001
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,37.13293743133545,48.97626972198486,2824,3388009,23.146345138549805,0.04835319519042969,2.283259391784668,19.12561559677124,3.5762786865234375e-05,11.854182004928589
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,90.57544231414795,76.35352540016174,2824,3388009,76.7433967590332,0.05529165267944336,2.1525402069091797,33.56914973258972,3.552436828613281e-05,11.949116230010986
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,90.18771505355835,76.51850867271423,2824,3388009,76.34181642532349,0.052292823791503906,2.2178900241851807,33.90615701675415,3.695487976074219e-05,11.852651596069336
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,89.26624011993408,76.9024965763092,2824,3388009,75.421945810318,0.050809621810913086,2.194176197052002,34.19425010681152,3.62396240234375e-05,11.789703845977783
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,37.16451930999756,51.138861417770386,2824,3388009,23.11616849899292,0.05040907859802246,2.335920810699463,19.227508306503296,3.647804260253906e-05,11.8792245388031
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.89177107810974,56.55966329574585,0,3388011,4.926382303237915,0.003991365432739258,2.2162060737609863,14.342167139053345,6.556510925292969e-05,13.855981588363647
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.NAIVE,106.6328239440918,103.33875060081482,3726808,3388009,58.42499756813049,15.47070574760437,45.7222216129303,66.66063737869263,0,11.744248628616333
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,74.40013551712036,72.5727128982544,3726808,3388009,26.650389432907104,15.247215986251831,45.3687047958374,36.48256039619446,0,11.582720279693604
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,56.54442381858826,75.78885912895203,0,3388011,11.759318590164185,0.003930330276489258,2.210493803024292,21.444217443466187,7.510185241699219e-05,14.532073020935059
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,90.17664432525635,77.16984462738037,2824,3388009,76.37224459648132,0.050421714782714844,2.204416275024414,33.98964786529541,3.62396240234375e-05,11.880932331085205
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.181824684143066,59.212340354919434,0,3388011,4.4921793937683105,0.0039060115814208984,2.232339382171631,15.596696615219116,7.271766662597656e-05,14.091706275939941
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.67100143432617,49.96027421951294,2824,3388009,20.611181259155273,0.04867839813232422,2.2389187812805176,19.35357165336609,4.8160552978515625e-05,11.764105319976807
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,109.64453887939453,105.31193447113037,3726808,3388009,55.900216579437256,16.90608310699463,51.37018609046936,67.21277332305908,0,11.717434883117676
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,90.12083458900452,77.99480319023132,2824,3388009,76.3335509300232,0.05414843559265137,2.2132699489593506,34.55831813812256,3.719329833984375e-05,11.9859037399292
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.27571964263916,57.38683319091797,0,3388011,4.371366500854492,0.003936290740966797,2.2515010833740234,15.393907308578491,7.128715515136719e-05,13.648842811584473
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,127.74067735671997,82.19096183776855,3726808,3388009,26.822537899017334,25.13477659225464,98.5978331565857,36.32700300216675,0,11.5039803981781
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.5239691734314,50.32406187057495,2824,3388009,20.63638186454773,0.05330967903137207,2.228541612625122,20.368212938308716,3.695487976074219e-05,11.7841796875
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,41.40408372879028,58.068325996398926,0,3388011,4.825802326202393,0.0038378238677978516,2.2612497806549072,14.607541799545288,7.390975952148438e-05,13.684712409973145
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.CLUSTERED,34.61708354949951,48.623382806777954,2824,3388009,20.660874366760254,0.0595402717590332,2.185351610183716,18.997457265853882,3.838539123535156e-05,11.75098466873169
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.87515902519226,56.42109155654907,0,3388011,4.672575235366821,0.0038716793060302734,2.2401905059814453,14.467456817626953,7.343292236328125e-05,13.82910966873169
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,57.45402479171753,76.42665719985962,0,3388011,11.885388374328613,0.003862619400024414,2.262713670730591,21.952593564987183,7.581710815429688e-05,14.219031572341919
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,57.413094997406006,77.2358808517456,0,3388011,11.56868314743042,0.003876924514770508,2.237593173980713,21.925438404083252,7.224082946777344e-05,14.8156898021698
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,56.49073791503906,77.1412627696991,0,3388011,11.447698593139648,0.003905773162841797,2.245544195175171,22.05311155319214,7.05718994140625e-05,14.674390077590942
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,154.62132263183594,112.52005553245544,3726808,3388009,63.243075370788574,24.11538863182068,88.90008091926575,67.33754205703735,0,11.668910026550293
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,39.15535306930542,56.66056561470032,0,3388011,4.411355257034302,0.0038385391235351562,2.247326135635376,14.5513334274292,6.914138793945312e-05,13.897222757339478
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,91.48180150985718,78.78888392448425,2824,3388009,77.64461135864258,0.055837154388427734,2.2131173610687256,35.10321354866028,3.647804260253906e-05,11.784468650817871
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,56.64426374435425,77.50122237205505,0,3388011,11.672081232070923,0.004002094268798828,2.2337541580200195,22.7306969165802,6.937980651855469e-05,13.91355013847351
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,184.25393676757812,121.42476153373718,3726808,3388009,60.273038387298584,29.92384362220764,121.5225248336792,70.48598074913025,0,11.637665033340454
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.CLUSTERED,36.95041084289551,51.37640857696533,2824,3388009,23.03923487663269,0.06056785583496094,2.2113444805145264,20.199060916900635,3.552436828613281e-05,12.030441522598267
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,129.44147372245789,82.72058916091919,3726808,3388009,28.078644275665283,25.276256561279297,98.94931125640869,36.574132204055786,0,11.571395874023438
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,39.4077889919281,56.82483124732971,0,3388011,4.464200019836426,0.003910541534423828,2.233095645904541,14.552049398422241,7.462501525878906e-05,13.643943071365356
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,61.25591802597046,78.58908724784851,0,3388011,15.662797689437866,0.004315376281738281,2.237549304962158,22.16136360168457,7.05718994140625e-05,15.207958698272705
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,91.04607343673706,80.44912910461426,2824,3388009,77.21461200714111,0.04820060729980469,2.2149791717529297,35.80064606666565,3.790855407714844e-05,11.908069849014282
