hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
hdd,ext4,timeit_seek_and_read,7,1000000,500000,1.93709802628
ram,tmpfs,timeit_seek_and_write,0,1000000,5000,2.19033098221
ram,tmpfs,timeit_seek_and_write,1,1000000,5000,2.16853284836
ram,tmpfs,timeit_seek_and_write,2,1000000,5000,2.16573095322
ram,tmpfs,timeit_seek_and_write,3,1000000,5000,2.19246912003
ram,tmpfs,timeit_seek_and_write,4,1000000,5000,2.165350914
ram,tmpfs,timeit_seek_and_write,5,1000000,5000,2.19329404831
ram,tmpfs,timeit_seek_and_write,6,1000000,5000,2.18179893494
ram,tmpfs,timeit_seek_and_write,7,1000000,5000,2.23958301544
ssd,ext4,timeit_seek_and_write,0,1000000,5000,2.86703395844
ssd,ext4,timeit_seek_and_write,1,1000000,5000,2.87759590149
ssd,ext4,timeit_seek_and_write,2,1000000,5000,2.84718513489
ssd,ext4,timeit_seek_and_write,3,1000000,5000,2.87207603455
ssd,ext4,timeit_seek_and_write,4,1000000,5000,2.87214183807
ssd,ext4,timeit_seek_and_write,5,1000000,5000,2.87191200256
ssd,ext4,timeit_seek_and_write,6,1000000,5000,2.87166190147
ssd,ext4,timeit_seek_and_write,7,1000000,5000,2.86718511581
hdd,ext4,timeit_seek_and_write,0,1000000,5000,3.26813602448
hdd,ext4,timeit_seek_and_write,1,1000000,5000,3.26111984253
hdd,ext4,timeit_seek_and_write,2,1000000,5000,3.2559401989
hdd,ext4,timeit_seek_and_write,3,1000000,5000,3.26765179634
hdd,ext4,timeit_seek_and_write,4,1000000,5000,3.26492190361
hdd,ext4,timeit_seek_and_write,5,1000000,5000,3.24125480652
hdd,ext4,timeit_seek_and_write,6,1000000,5000,3.26901316643
hdd,ext4,timeit_seek_and_write,7,1000000,5000,3.23747706413
ram,tmpfs,timeit_seek_and_write,0,1000000,50000,2.16484189034
ram,tmpfs,timeit_seek_and_write,1,1000000,50000,2.1668817997
ram,tmpfs,timeit_seek_and_write,2,1000000,50000,2.17908096313
ram,tmpfs,timeit_seek_and_write,3,1000000,50000,2.1855430603
ram,tmpfs,timeit_seek_and_write,4,1000000,50000,2.17387199402
ram,tmpfs,timeit_seek_and_write,5,1000000,50000,2.17025780678
ram,tmpfs,timeit_seek_and_write,6,1000000,50000,2.16941690445
ram,tmpfs,timeit_seek_and_write,7,1000000,50000,2.18485689163
ssd,ext4,timeit_seek_and_write,0,1000000,50000,2.85810089111
ssd,ext4,timeit_seek_and_write,1,1000000,50000,2.92241382599
ssd,ext4,timeit_seek_and_write,2,1000000,50000,2.86466598511
ssd,ext4,timeit_seek_and_write,3,1000000,50000,2.87501883507
ssd,ext4,timeit_seek_and_write,4,1000000,50000,2.87962889671
ssd,ext4,timeit_seek_and_write,5,1000000,50000,2.86746001244
ssd,ext4,timeit_seek_and_write,6,1000000,50000,2.8800098896
ssd,ext4,timeit_seek_and_write,7,1000000,50000,2.87613391876
hdd,ext4,timeit_seek_and_write,0,1000000,50000,3.26797294617
hdd,ext4,timeit_seek_and_write,1,1000000,50000,3.32737898827
hdd,ext4,timeit_seek_and_write,2,1000000,50000,3.27027082443
hdd,ext4,timeit_seek_and_write,3,1000000,50000,3.2434990406
hdd,ext4,timeit_seek_and_write,4,1000000,50000,3.24892401695
hdd,ext4,timeit_seek_and_write,5,1000000,50000,3.23756313324
hdd,ext4,timeit_seek_and_write,6,1000000,50000,3.2495598793
hdd,ext4,timeit_seek_and_write,7,1000000,50000,3.25250101089
ram,tmpfs,timeit_seek_and_write,0,1000000,500000,2.17233014107
ram,tmpfs,timeit_seek_and_write,1,1000000,500000,2.17630982399
ram,tmpfs,timeit_seek_and_write,2,1000000,500000,2.20114016533
ram,tmpfs,timeit_seek_and_write,3,1000000,500000,2.19587993622
ram,tmpfs,timeit_seek_and_write,4,1000000,500000,2.17136406898
ram,tmpfs,timeit_seek_and_write,5,1000000,500000,2.1808989048
